epoch,policy_loss,value_loss,entropy,clip_frac,consistency,mean_return
1,-0.005242161452770233,293.3358459472656,1.5802080631256104,0.0,0.023432515561580658,16.47117620287463
2,-0.0057581327855587006,290.34625244140625,1.580368995666504,0.0,0.02389296516776085,16.47117620287463
3,-0.007735149934887886,287.6004333496094,1.5804654359817505,0.0,0.0237480029463768,16.47117620287463
4,-0.011002857238054276,285.0949401855469,1.5804729461669922,0.0,0.023750707507133484,16.47117620287463
5,-0.0138090206310153,282.6456298828125,1.58040452003479,0.0,0.023714538663625717,16.47117620287463
