step,loss
0,10.643778800964355
1,9.50045394897461
2,8.709110260009766
3,8.586037635803223
4,8.334266662597656
5,8.404875755310059
6,8.43026065826416
7,6.3466033935546875
8,8.558579444885254
9,8.602683067321777
10,7.946922302246094
11,8.50875473022461
12,8.594484329223633
13,8.196609497070312
14,8.33940601348877
15,8.022488594055176
16,8.27497673034668
17,9.119279861450195
18,8.553120613098145
19,8.302249908447266
20,6.322756767272949
21,8.209920883178711
22,6.273181915283203
23,8.262798309326172
24,8.283829689025879
25,8.652280807495117
26,8.492730140686035
27,8.471219062805176
28,8.386667251586914
29,8.261481285095215
30,6.227937698364258
31,8.057251930236816
32,8.455619812011719
33,8.436531066894531
34,6.626331329345703
35,6.261693954467773
36,8.168362617492676
37,6.519423007965088
38,8.551445007324219
39,8.339444160461426
40,6.125401496887207
41,8.432069778442383
42,8.16041374206543
43,8.117047309875488
44,7.995936870574951
45,8.19472885131836
46,6.083461284637451
47,8.263574600219727
48,8.29615592956543
49,7.971478462219238
50,8.25259017944336
51,8.19802474975586
52,8.47038459777832
53,8.491726875305176
54,8.253386497497559
55,8.194964408874512
56,8.204885482788086
57,8.114256858825684
58,7.947237014770508
59,8.201047897338867
60,7.937067031860352
61,8.284016609191895
62,6.486413955688477
63,8.48128890991211
64,8.229291915893555
65,8.11363410949707
66,8.224870681762695
67,8.2892484664917
68,8.188051223754883
69,8.267821311950684
70,8.021368980407715
71,6.287674903869629
72,5.986409664154053
73,7.991300582885742
74,6.493760108947754
75,6.580986499786377
76,7.862541198730469
77,8.134367942810059
78,7.777289390563965
79,8.226639747619629
80,6.507605075836182
81,8.226431846618652
82,8.744413375854492
83,8.221641540527344
84,6.318082332611084
85,8.468524932861328
86,8.379179000854492
87,8.366989135742188
88,8.189440727233887
89,8.161551475524902
90,8.569449424743652
91,7.9171905517578125
92,6.560491561889648
93,7.8265156745910645
94,8.376004219055176
95,8.179274559020996
96,7.991930961608887
97,8.646387100219727
98,6.28508996963501
99,8.211502075195312
100,6.410750865936279
101,8.4494047164917
102,8.7344970703125
103,8.731080055236816
104,8.470901489257812
105,6.126853942871094
106,8.142066955566406
107,7.997498512268066
108,8.19871711730957
109,7.950379848480225
110,8.251955032348633
111,8.068137168884277
112,7.986019134521484
113,8.20538330078125
114,8.332558631896973
115,8.403581619262695
116,8.143019676208496
117,7.889359474182129
118,8.249364852905273
119,8.04996109008789
120,7.99384880065918
121,8.109851837158203
122,8.216687202453613
123,8.189897537231445
124,8.149819374084473
125,8.136270523071289
126,8.125592231750488
127,8.344078063964844
128,7.749152660369873
129,8.163187980651855
130,8.17624568939209
131,8.149640083312988
132,7.8585968017578125
133,8.298127174377441
134,8.14441967010498
135,8.230878829956055
136,6.180058002471924
137,8.344829559326172
138,8.03724193572998
139,8.230317115783691
140,7.973668575286865
141,8.211248397827148
142,8.184637069702148
143,8.036706924438477
144,6.395725250244141
145,8.452018737792969
146,8.009102821350098
147,6.449065208435059
148,6.256099224090576
149,8.129035949707031
150,8.17912483215332
151,8.246753692626953
152,8.084242820739746
153,7.933032989501953
154,8.13532543182373
155,8.084911346435547
156,8.153876304626465
157,8.131821632385254
158,8.392956733703613
159,8.128152847290039
160,8.638847351074219
161,8.03221607208252
162,7.676338195800781
163,8.289203643798828
164,7.948404788970947
165,8.026179313659668
166,7.846508979797363
167,8.327447891235352
168,7.924430847167969
169,8.14406681060791
170,8.210989952087402
171,6.028714179992676
172,8.364200592041016
173,8.127921104431152
174,8.582817077636719
175,8.227423667907715
176,6.2288665771484375
177,8.008771896362305
178,7.971920967102051
179,6.223638534545898
180,8.097799301147461
181,8.09830093383789
182,7.814842224121094
183,8.122255325317383
184,8.041586875915527
185,8.120556831359863
186,8.318037033081055
187,8.350213050842285
188,7.858015537261963
189,6.568525791168213
190,7.829145431518555
191,7.878152370452881
192,6.5093183517456055
193,7.797753810882568
194,8.126617431640625
195,8.162232398986816
196,7.9932122230529785
197,7.6995744705200195
198,7.935004234313965
199,6.0906081199646
200,7.776516914367676
201,8.374094009399414
202,8.146208763122559
203,8.107176780700684
204,5.906782627105713
205,6.155326843261719
206,8.124801635742188
207,8.105949401855469
208,8.030694007873535
209,8.512166976928711
210,8.004254341125488
211,8.290793418884277
212,6.398341655731201
213,7.972919464111328
214,8.347599983215332
215,8.53016185760498
216,8.563248634338379
217,8.201675415039062
218,8.140522956848145
219,8.106595039367676
220,6.2303290367126465
221,8.124933242797852
222,8.217534065246582
223,8.186244010925293
224,8.147923469543457
225,8.213813781738281
226,6.259501934051514
227,8.125833511352539
